18:28:32.680834 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.684944 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.689452 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.693557 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.698068 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.702172 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.706685 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.710788 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.714892 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.719404 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.723481 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.727997 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.732099 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.736611 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.740713 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.745228 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.749331 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.753843 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.757947 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.762460 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.766566 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.771086 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.775192 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.779296 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.783805 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.787910 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.792422 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.796521 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.801040 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.805146 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.809658 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.813762 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.818280 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.822359 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.826885 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.830990 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.835501 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.839618 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.843710 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.848221 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.852325 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.856838 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.860945 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.865456 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.869560 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
18:28:32.874057 IP planetlab2.cs.ubc.ca.42691 > 198.188.2.10.22222: UDP, length 1024
